ticker,time,open,high,low,close,Volume
ABSA,14/09/2020,9.8,10,9.8,9.84,825100
ABSA,21/09/2020,9.8,10,9.6,9.98,4024700
ABSA,28/09/2020,10.2,10.8,9.66,9.8,4160000
ABSA,05/10/2020,9.82,9.9,9.36,9.44,2574100
ABSA,12/10/2020,9.4,9.8,9.3,9.8,316300
ABSA,19/10/2020,9.8,9.8,9.4,9.6,421800
ABSA,26/10/2020,9.5,9.6,9.3,9.4,3364200
ABSA,02/11/2020,9.5,9.6,9,9.6,282000
ABSA,09/11/2020,9.5,10,9.42,9.66,7733400
ABSA,16/11/2020,9.86,10.1,9.42,9.520001,6863100
ABSA,23/11/2020,9.76,9.76,9.2,9.6,7051500
ABSA,30/11/2020,9.6,9.96,9.3,9.7,2065900
ABSA,07/12/2020,9.72,9.8,9.2,9.520001,1859400
ABSA,14/12/2020,9.5,9.68,9.1,9.3,2977700
ABSA,21/12/2020,9.2,9.9,9.16,9.4,794200
ABSA,28/12/2020,9.4,9.88,9.24,9.42,201300
ABSA,04/01/2021,9.8,9.8,9.36,9.6,2507800
ABSA,11/01/2021,9.7,9.78,9.38,9.5,952600
ABSA,18/01/2021,9.5,9.78,9.4,9.46,872900
ABSA,25/01/2021,9.46,9.46,9,9.3,629000
ABSA,01/02/2021,9.36,9.38,8.9,9.1,4382800
ABSA,08/02/2021,9.3,9.6,9.1,9.6,2754900
ABSA,15/02/2021,9.5,9.7,9.5,9.66,2919100
ABSA,22/02/2021,9.7,9.9,9.6,9.8,1665000
ABSA,01/03/2021,9.8,9.8,9.24,9.64,318700
ABSA,08/03/2021,9.7,9.7,9.34,9.36,1062900
ABSA,15/03/2021,9.42,9.6,9.24,9.48,1168800
ABSA,22/03/2021,9.48,9.48,8.5,8.98,2099100
ABSA,29/03/2021,8.6,9,8.5,8.82,1405600
ABSA,05/04/2021,9,9,8.7,8.9,793300
ABSA,12/04/2021,8.9,9,8.7,8.84,445700
ABSA,19/04/2021,8.84,8.86,8.6,8.7,974400
ABSA,26/04/2021,8.78,8.8,8.6,8.8,816900
ABSA,03/05/2021,8.8,8.9,8.6,8.82,420400
ABSA,10/05/2021,8.84,8.88,8.7,8.86,806900
ABSA,17/05/2021,8.88,9.16,8.8,9.14,1019700
ABSA,24/05/2021,9.1,9.78,8.94,9.5,2875300
ABSA,31/05/2021,9.5,9.9,9.34,9.82,3547500
ABSA,07/06/2021,9.82,10.2,9.74,10,599900
ABSA,14/06/2021,10,10.25,9.94,10.15,6534500
ABSA,21/06/2021,10.15,10.25,9.8,10,1138600
ABSA,28/06/2021,10,10.1,9.2,9.6,1530200
ABSA,05/07/2021,9.76,10.15,9.4,10.05,7078900
ABSA,12/07/2021,10.05,10.25,9.82,10,1090000
ABSA,19/07/2021,10.1,10.1,9.6,9.9,897100
ABSA,26/07/2021,9.9,10.2,9.5,9.9,3064200
ABSA,02/08/2021,9.9,9.98,9.68,9.76,923300
ABSA,09/08/2021,9.8,10,9.7,9.72,1218800
ABSA,16/08/2021,9.8,10.35,9.7,10.15,1089100
ABSA,23/08/2021,10.3,11.15,10.2,11,10197300
ABSA,30/08/2021,11.1,11.1,10.35,10.5,1329000
ABSA,06/09/2021,10.55,10.55,10,10.5,2641400
ABSA,13/09/2021,10.55,11.35,10.3,10.6,4461400
ABSA,20/09/2021,10.6,10.7,10.05,10.5,1412300
ABSA,27/09/2021,10.65,10.65,10.3,10.5,3525900
ABSA,04/10/2021,10.55,10.55,10,10.3,1835900
ABSA,11/10/2021,10.25,10.3,10.05,10.2,1296800
ABSA,18/10/2021,10.25,10.3,10,10,607300
ABSA,25/10/2021,10.3,10.5,10,10.25,1055100
ABSA,01/11/2021,10.45,10.45,10,10.3,528800
ABSA,08/11/2021,10.25,10.45,10.05,10.4,7089300
ABSA,15/11/2021,10.5,10.55,10.2,10.5,3214600
ABSA,22/11/2021,10.5,11.1,10.45,11.1,11603900
ABSA,29/11/2021,11.2,11.4,10.5,10.85,12751900
ABSA,06/12/2021,10.85,11.1,10.8,11,1122300
ABSA,13/12/2021,11.1,11.3,10.95,11.05,850800
ABSA,20/12/2021,11.3,11.75,11,11.55,1109400
ABSA,27/12/2021,11.55,12,11.5,11.9,851500
ABSA,03/01/2022,11.9,11.95,11.6,11.85,548600
ABSA,10/01/2022,11.75,12,11.7,11.8,2035200
ABSA,17/01/2022,11.85,12,11.75,11.85,616600
ABSA,24/01/2022,11.85,11.9,11.6,11.75,833000
ABSA,31/01/2022,11.75,12,11.6,11.85,963000
ABSA,07/02/2022,11.9,12,11,11.85,924500
ABSA,14/02/2022,11.8,12.1,11.6,11.9,1501300
ABSA,21/02/2022,12,12.5,11.8,12,11450600
ABSA,28/02/2022,12,12.2,11.3,12,558600
ABSA,07/03/2022,12,12.4,11.75,12.05,954900
ABSA,14/03/2022,12.05,12.9,12.05,12.4,7606300
ABSA,21/03/2022,12.3,12.95,12.3,12.3,6243400
ABSA,28/03/2022,12.5,12.65,12,12.1,1265400
ABSA,04/04/2022,12.5,12.5,12.15,12.3,455200
ABSA,11/04/2022,12.3,12.55,12.2,12.55,679800
ABSA,19/04/2022,12.65,12.85,12.45,12.6,2081500
ABSA,25/04/2022,12.7,12.7,9.7,9.7,1715900
ABSA,04/05/2022,10,10.25,9.76,10,327700
ABSA,09/05/2022,10,10.2,9.020001,9.76,728500
ABSA,16/05/2022,9.88,9.94,9.7,9.8,425300
ABSA,23/05/2022,9.76,10.5,9.7,10.5,1333200
ABSA,30/05/2022,10.45,10.75,10,10.55,330600
ABSA,06/06/2022,11,12,10.5,11.5,9057300
ABSA,13/06/2022,11.6,11.6,10.4,10.4,440300
ABSA,20/06/2022,10.85,10.85,10,10.3,397400
ABSA,27/06/2022,10.25,10.8,10.2,10.55,459300
ABSA,04/07/2022,10.5,11.8,10.5,11.6,517800
ABSA,12/07/2022,11.6,11.7,10.5,10.5,578900
ABSA,18/07/2022,11,11,10.05,10.75,994900
ABSA,25/07/2022,10.8,11.15,10.6,11.1,816200
ABSA,01/08/2022,11.1,11.6,11.05,11.5,1647300
ABSA,08/08/2022,11.55,12.5,11.4,12.3,1062000
ABSA,15/08/2022,12.3,12.45,12,12.45,633600
ABSA,22/08/2022,12.35,12.5,11,12,561700
ABSA,29/08/2022,12.3,12.3,11.45,12,265600
ABSA,05/09/2022,12.3,12.5,11.7,12,2078100
ABSA,12/09/2022,11.95,12,11.1,11.7,357400
ABSA,19/09/2022,11.7,12,11,11.5,1225500
ABSA,26/09/2022,11.8,11.8,11.05,11.45,2259500
ABSA,03/10/2022,11.35,11.4,10.8,11,482200
ABSA,11/10/2022,11,11.2,10.8,11.15,240900
ABSA,17/10/2022,11.2,12,11.2,11.55,365200
ABSA,24/10/2022,11.65,11.65,11,11.25,294000
ABSA,31/10/2022,11.35,12.25,11.15,11.55,475400
ABSA,07/11/2022,11.5,12,11.1,11.7,2427700
ABSA,14/11/2022,11.9,11.9,11.4,11.75,15320300
ABSA,21/11/2022,11.75,11.8,11.3,11.7,419100
ABSA,28/11/2022,11.7,12.5,11.25,11.65,357600
ABSA,05/12/2022,11.8,12.5,11.65,12,346900
ABSA,13/12/2022,12,12.3,12,12.25,430300
ABSA,19/12/2022,12.3,12.5,12,12.2,343800
ABSA,27/12/2022,12.1,12.5,12.1,12.2,1177000
ABSA,03/01/2023,12.1,12.45,12,12.15,9682600
ABSA,09/01/2023,12.05,12.5,11.9,12.3,756200
ABSA,16/01/2023,12.25,12.8,12.05,12.5,396500
ABSA,23/01/2023,12.3,13,12.25,12.4,651900
ABSA,30/01/2023,12.45,12.55,12.3,12.3,629500
ABSA,06/02/2023,12.25,12.7,12.25,12.65,359600
ABSA,13/02/2023,12.55,12.7,12.4,12.55,728200
ABSA,20/02/2023,12.55,12.7,12.5,12.55,4180500
ABSA,27/02/2023,12.6,12.9,12.05,12.5,11461500
ABSA,06/03/2023,12.5,12.7,12.05,12.7,1425000
ABSA,13/03/2023,12.75,12.95,11.9,12,3342100
ABSA,20/03/2023,12,12,11.5,12,924500
ABSA,27/03/2023,12,13,11.9,12.95,512800
ABSA,03/04/2023,13,13,12.6,12.6,206800
ABSA,11/04/2023,12.6,12.95,12.4,12.6,258900
ABSA,17/04/2023,12.75,12.75,12.35,12.45,2981800
ABSA,24/04/2023,12.45,12.5,11.95,12.1,3388000
ABSA,02/05/2023,11.8,11.8,10,10.4,925300
ABSA,08/05/2023,10.4,10.7,10.15,10.15,5157000
ABSA,15/05/2023,10.15,10.5,10.15,10.35,1752500
ABSA,22/05/2023,10.35,11.3,10.35,10.8,10591500
ABSA,29/05/2023,10.8,11.9,10.8,11.85,750100
ABSA,05/06/2023,11.8,12,11.2,11.7,1178500
ABSA,12/06/2023,11.7,12,11.5,11.7,3245400
ABSA,19/06/2023,11.95,11.95,11.5,11.8,477900
ABSA,26/06/2023,11.8,11.85,11.6,11.75,240800
ABSA,03/07/2023,11.75,12.5,11.75,12,6999100
ABSA,10/07/2023,12.15,12.25,12.05,12.25,614100
ABSA,17/07/2023,12.25,12.4,12.1,12.35,1927400
ABSA,24/07/2023,12.35,12.6,12,12.5,2148600
ABSA,31/07/2023,12.6,12.6,12.05,12.5,553700
ABSA,07/08/2023,12.4,12.6,12.35,12.4,11486700
ABSA,14/08/2023,12.5,12.5,11.55,12,12143200
ABSA,21/08/2023,12,12,11,11.4,606800
ABSA,28/08/2023,11.1,12,10.95,11.75,553800
ABSA,04/09/2023,11.85,12,11.5,11.75,10894200
ABSA,11/09/2023,11.85,11.9,11.5,11.75,7373300
ABSA,18/09/2023,11.75,12.4,11.7,11.9,1886400
ABSA,25/09/2023,11.8,12,11.75,12,2474200
ABSA,02/10/2023,12,12,11.5,11.95,555600
ABSA,09/10/2023,12,12,11.75,11.95,1623000
ABSA,16/10/2023,11.95,12.05,11.75,11.95,1713300
ABSA,23/10/2023,12,12.05,11.5,11.85,1003200
ABSA,30/10/2023,11.85,11.85,11.3,11.5,347000
ABSA,06/11/2023,11.5,11.55,10.55,10.8,481200
ABSA,14/11/2023,10.8,11.45,10.65,11.2,313300
ABSA,20/11/2023,11.15,11.8,11,11.8,304600
ABSA,27/11/2023,11.6,11.75,10.55,11.45,470100
ABSA,04/12/2023,11.45,11.75,10.95,11.5,400500
ABSA,11/12/2023,11.5,11.7,11,11.35,250100
ABSA,18/12/2023,11.35,11.5,11.05,11.35,548100
ABSA,27/12/2023,11.25,11.5,11.05,11.5,143000
ABSA,02/01/2024,11.75,11.75,11.4,11.75,229000
ABSA,08/01/2024,11.65,11.85,11,11.5,961400
ABSA,15/01/2024,11.05,11.7,11.05,11.5,891700
ABSA,22/01/2024,11.35,11.7,11.35,11.7,774900
ABSA,29/01/2024,11.55,12.25,11.55,12.25,467500
ABSA,05/02/2024,11.9,12.3,11.8,12.1,2259200
ABSA,12/02/2024,12.05,12.3,12,12.2,1191400
ABSA,19/02/2024,12.15,12.75,12,12.7,1287500
ABSA,26/02/2024,12.7,13.1,12.2,13,1373200
ABSA,04/03/2024,13.4,13.4,12.6,13,545400
ABSA,11/03/2024,12.9,14.3,12.7,14.3,1817400
ABSA,18/03/2024,14,14.2,13.7,14.1,10870100
ABSA,25/03/2024,14,14.35,13.75,13.9,1578400
ABSA,02/04/2024,13.95,14.15,13.7,13.7,1130500
ABSA,08/04/2024,14,14,13,13.55,1540000
ABSA,15/04/2024,13.5,13.6,12.75,12.8,3941400
ABSA,22/04/2024,12.8,13.6,12.5,13.5,1993300
ABSA,29/04/2024,13.5,14,11.5,12.4,1747600
ABSA,06/05/2024,12.3,12.6,12,12.4,905300
ABSA,13/05/2024,12.5,13.2,12.1,13,2042500
ABSA,20/05/2024,13,13.7,12.8,13.55,3813000
ABSA,27/05/2024,13.55,13.8,12.75,13.7,6266000
ABSA,03/06/2024,13.7,14,13.5,13.75,1914800
ABSA,10/06/2024,13.8,14,13.6,13.9,2208600
ABSA,17/06/2024,13.9,14.05,13.85,14.05,9727300
ABSA,24/06/2024,14.1,14.25,13.5,14,1399900
ABSA,01/07/2024,14,14.25,13.9,14.25,7724800
ABSA,08/07/2024,14.1,14.5,13.5,14,1251100
ABSA,15/07/2024,14.45,14.45,13.85,14,2153700
ABSA,22/07/2024,14,14.3,13.9,14.3,771300
ABSA,29/07/2024,14,14.1,14,14.05,778200
ABSA,05/08/2024,14.05,14.25,13.9,14,13154400
ABSA,12/08/2024,14,14.2,13.8,14.2,350000
ABSA,19/08/2024,14.1,14.3,13.9,14.25,427000
ABSA,26/08/2024,14.2,15,13.9,14.25,6552800
ABSA,02/09/2024,14.25,14.45,13.9,13.9,612000
ABSA,09/09/2024,14.1,14.4,13.85,14.3,823200
ABSA,16/09/2024,14.4,14.5,13.8,14.3,1610300
ABSA,23/09/2024,14.5,14.5,13.9,14.15,1702400
ABSA,30/09/2024,14.15,14.3,13.8,14.25,263700
ABSA,07/10/2024,14.3,14.3,13.8,14.15,333500
ABSA,14/10/2024,14.2,15.5,13.9,14.9,528100
ABSA,22/10/2024,14.9,16.35,14.2,15.3,789800
ABSA,28/10/2024,15.3,16.7,15,15.2,1042900
ABSA,04/11/2024,15.45,15.45,14.8,15,1613400
ABSA,11/11/2024,15.2,16,15,15.45,656700
ABSA,18/11/2024,15.45,16,15.1,15.45,1820300
ABSA,25/11/2024,15.45,15.75,14.55,15,1457700
ABSA,02/12/2024,15.25,15.45,14.6,15.25,864300
ABSA,09/12/2024,15.1,15.75,15,15.45,463800
ABSA,16/12/2024,15.5,17,15.1,17,1034300
ABSA,23/12/2024,16.9,17.95,16.7,17.3,224500
ABSA,30/12/2024,17.4,19.5,17.4,19.2,3199100
ABSA,06/01/2025,19.2,19.3,17.55,19,15640800
ABSA,13/01/2025,19.4,19.4,16.9,17.45,3180600
ABSA,20/01/2025,17.05,18.1,17.05,18,650100
ABSA,27/01/2025,18,18.5,17.4,18,704900
ABSA,03/02/2025,18.1,18.5,17.85,18.5,615700
ABSA,10/02/2025,18.1,18.95,18.1,18.4,1103800
ABSA,17/02/2025,18.6,19.2,18.1,19,11057000
ABSA,24/02/2025,19,19.2,18.6,19.15,3139000
ABSA,03/03/2025,19,19.45,19,19.35,3431200
ABSA,10/03/2025,19.4,19.95,18.6,19.1,3836900
ABSA,17/03/2025,19.1,19.3,17.1,19.05,1008600
ABSA,24/03/2025,19.05,19.2,18.8,19,1228600
ABSA,01/04/2025,19,19.1,17.8,17.85,661700
ABSA,07/04/2025,18.45,18.45,16.6,17.1,747100
ABSA,14/04/2025,17.5,17.8,17,17.5,336800
ABSA,22/04/2025,17.5,18.9,17.35,18.5,369300
ABSA,28/04/2025,18.5,19,15,17,731000
ABSA,05/05/2025,17.05,18,16,17.75,1806500
ABSA,12/05/2025,16.65,17.7,16.45,17.1,744400
ABSA,19/05/2025,17.5,17.95,17.1,17.9,2067000
ABSA,26/05/2025,17.9,18.6,17.7,18.25,15959500
ABSA,03/06/2025,18.5,18.5,17.95,18.15,732100
ABSA,09/06/2025,18.15,19.2,18.05,18.9,2029400
ABSA,16/06/2025,18.9,19.1,18.1,18.9,1999300
ABSA,23/06/2025,18.8,19.15,18.5,19.05,910600
ABSA,30/06/2025,19.05,20,19,20,2034400
ABSA,07/07/2025,20,20.2,19.6,19.8,607000
ABSA,14/07/2025,19.7,20,19.45,19.8,939200
ABSA,21/07/2025,19.9,19.9,19,19.4,1554900
ABSA,28/07/2025,19.4,19.7,19.2,19.55,11800600
ABSA,04/08/2025,19.7,19.9,19.5,19.85,4146270
ABSA,11/08/2025,20,20,19.55,20,6286887
ABSA,18/08/2025,19.95,20,17.95,19.9,3433208
ABSA,25/08/2025,19.9,20.6,19.75,20.15,1764526
ABSA,01/09/2025,21,21.5,20,20.7,1285391
ABSA,08/09/2025,20.7,24.85,20.65,23.2,2114827
ABSA,15/09/2025,23.05,23.5,20.5,20.75,19997745
ABSA,22/09/2025,21,22.8,19.7,20.8,2473593
ABSA,29/09/2025,20.7,22.8,20.5,22,860970
ABSA,06/10/2025,22.1,22.6,21.1,22.2,2258916
ABSA,13/10/2025,21.85,22.45,21,22.05,716901
ABSA,21/10/2025,22.1,23.5,21.45,22.65,5535888
ABSA,27/10/2025,22.65,23.1,22.4,22.8,1289775
ABSA,03/11/2025,23.2,26,22.8,25.75,1736877
ABSA,10/11/2025,25,26.25,23.3,24.95,4511739
ABSA,17/11/2025,24.95,25,22.5,23,970345
ABSA,24/11/2025,22.85,23,21.5,23,7127841
ABSA,01/12/2025,23,23.2,21.9,22.5,986636
ABSA,08/12/2025,22.7,22.7,21.7,22,2446623
ABSA,15/12/2025,22,22.6,21.95,22.5,5268344
ABSA,22/12/2025,22.5,23.7,22.3,23.7,817882
ABSA,29/12/2025,23.5,25.45,23.05,25.25,549703
ABSA,05/01/2026,24.5,26.5,24,25.8,3427917
ABSA,12/01/2026,25.8,26,25.3,25.8,7557582
ABSA,19/01/2026,25.8,28,25.6,28,1065016
ABSA,26/01/2026,27.9,28.5,26.1,28,2187771
ABSA,02/02/2026,27.95,29.75,27.5,28.3,3502506
ABSA,09/02/2026,28.3,30,28.2,30,11138316
ABSA,16/02/2026,30,30.35,28,28,6497776
ABSA,23/02/2026,28,33,28,32.5,5546069
ABSA,02/03/2026,32.2,32.4,29.35,30.3,8200304
ABSA,09/03/2026,30.3,31.9,30,31,5321960
ABSA,16/03/2026,31,32.95,31,31.6,920665
ABSA,23/03/2026,31.6,31.6,26.9,27.85,5041347
ABSA,30/03/2026,27.85,29.85,26.9,29.7,1776932
ABSA,07/04/2026,29.7,31.5,29.7,31,2104036
ABSA,13/04/2026,31,31.95,30,31.5,834897
ABSA,20/04/2026,31.35,31.5,30.25,31,3668544
ABSA,27/04/2026,31,31.2,30.25,30.95,3504251
ABSA,04/05/2026,30.35,30.55,25.65,28.3,1488196
ABSA,11/05/2026,28.25,29.9,28.2,28.6,3561364
