ticker,time,open,high,low,close,Volume
COOP,14/09/2020,11.7,12.15,11.25,12,1654700
COOP,21/09/2020,12.1,12.1,11.75,11.9,3800100
COOP,28/09/2020,11.8,12,11.6,11.7,2980800
COOP,05/10/2020,11.8,12.1,11.05,11.45,1634500
COOP,12/10/2020,11.7,12,11.5,12,674700
COOP,19/10/2020,11.8,12,11.2,11.4,544600
COOP,26/10/2020,12,12,11.05,11.45,618000
COOP,02/11/2020,11.5,12,11.3,11.5,771400
COOP,09/11/2020,11.55,11.7,11.2,11.4,4419600
COOP,16/11/2020,11.5,11.95,11.3,11.75,1347800
COOP,23/11/2020,11.5,11.95,11.2,11.8,481700
COOP,30/11/2020,11.85,11.9,11.4,11.65,449000
COOP,07/12/2020,11.7,11.95,11.5,11.75,2478000
COOP,14/12/2020,11.6,12,11.5,11.9,6996700
COOP,21/12/2020,11.7,11.95,11.65,11.85,392200
COOP,28/12/2020,11.9,12.8,11.85,12.5,2488000
COOP,04/01/2021,12.5,13.7,12.2,13.1,985200
COOP,11/01/2021,13,13.2,12.7,13,1790600
COOP,18/01/2021,13,13.1,12.3,12.8,980400
COOP,25/01/2021,12.8,12.9,12.5,12.55,287200
COOP,01/02/2021,12.8,12.8,11.8,12.2,3563700
COOP,08/02/2021,12.2,12.9,12.2,12.65,818400
COOP,15/02/2021,12.7,13,12.2,13,2492700
COOP,22/02/2021,12.6,13.5,12.6,13,856600
COOP,01/03/2021,13,13.4,12.9,13,12853100
COOP,08/03/2021,13,13,12.05,12.95,354100
COOP,15/03/2021,13,14.05,12.65,13.95,1608900
COOP,22/03/2021,14,14,13.25,13.6,3272200
COOP,29/03/2021,13,14,11.75,11.9,4219900
COOP,05/04/2021,11.95,12.1,11.7,11.95,897900
COOP,12/04/2021,12,12,11.3,11.85,1543700
COOP,19/04/2021,11.65,11.95,11.5,11.9,1201200
COOP,26/04/2021,11.95,12.45,11.65,12.1,3524100
COOP,03/05/2021,12.2,12.9,12.2,12.6,4039100
COOP,10/05/2021,12.65,12.65,12.1,12.35,1927600
COOP,17/05/2021,12.5,12.8,11.9,12.1,2753000
COOP,24/05/2021,12.3,12.45,12,12.1,3939400
COOP,31/05/2021,12.4,12.45,12.05,12.2,4993700
COOP,07/06/2021,12.2,12.45,12.1,12.2,2987600
COOP,14/06/2021,12.3,12.4,12.1,12.25,3903000
COOP,21/06/2021,12.3,13.05,11.9,13.05,7192300
COOP,28/06/2021,13.05,13.95,12.8,13.25,8949900
COOP,05/07/2021,13.25,13.8,13.2,13.6,1611900
COOP,12/07/2021,13.6,13.85,13.2,13.7,1132900
COOP,19/07/2021,13.3,13.75,12.5,13.45,1020000
COOP,26/07/2021,13.5,13.75,12.8,13.5,3082300
COOP,02/08/2021,13.5,13.75,13.1,13.75,1211400
COOP,09/08/2021,13.75,13.85,13.55,13.8,13408100
COOP,16/08/2021,13.85,14,13.5,13.7,2139000
COOP,23/08/2021,13.7,14,13.5,13.8,4511700
COOP,30/08/2021,13.85,13.9,13,13.55,1975400
COOP,06/09/2021,13.55,13.65,13.3,13.45,742300
COOP,13/09/2021,13.45,13.6,13,13.6,5297700
COOP,20/09/2021,13.6,13.6,13,13.2,3626000
COOP,27/09/2021,13.45,14,13,13.4,818800
COOP,04/10/2021,13.6,13.6,13,13.2,340600
COOP,11/10/2021,13.15,13.2,12.5,12.6,1615200
COOP,18/10/2021,13,13,12.6,12.7,2926400
COOP,25/10/2021,12.8,12.8,12.4,12.5,775100
COOP,01/11/2021,12.7,12.8,12.3,12.5,4648300
COOP,08/11/2021,12.5,13.5,12,13.5,1699700
COOP,15/11/2021,13.45,13.45,12.25,12.25,1888600
COOP,22/11/2021,12.5,12.5,12.1,12.5,2601600
COOP,29/11/2021,12.35,12.5,11.5,11.5,965800
COOP,06/12/2021,11.8,12.5,11.5,12.5,952600
COOP,13/12/2021,12.2,12.5,12,12.3,3774800
COOP,20/12/2021,12.35,13.5,12.1,13,837400
COOP,27/12/2021,13.2,13.3,12.55,12.9,284900
COOP,03/01/2022,13,13.5,12.8,12.8,496200
COOP,10/01/2022,12.95,13.3,12.4,13.3,492300
COOP,17/01/2022,13,13.3,12.65,13.2,3433600
COOP,24/01/2022,13.2,13.2,12.7,13,496400
COOP,31/01/2022,13,13.1,12.9,12.95,3499400
COOP,07/02/2022,13,13.05,12.8,13,3248900
COOP,14/02/2022,12.95,13.5,12.9,13.25,4893200
COOP,21/02/2022,13.3,13.4,12.65,12.7,621600
COOP,28/02/2022,13,13.15,12.65,12.95,445300
COOP,07/03/2022,13.1,13.1,12.7,12.7,644700
COOP,14/03/2022,12.95,13.6,12.8,13.6,1562900
COOP,21/03/2022,14,14,12.8,12.9,692000
COOP,28/03/2022,12.9,13.4,12.5,12.9,955400
COOP,04/04/2022,13,13.15,12.5,12.55,376500
COOP,11/04/2022,12.8,13,12.5,12.8,248400
COOP,19/04/2022,13.15,13.15,12.55,12.6,223500
COOP,25/04/2022,12.65,13,12.5,12.65,588700
COOP,04/05/2022,12.6,12.65,12,12.3,508400
COOP,09/05/2022,12.5,12.5,12,12.25,1053500
COOP,16/05/2022,12.3,12.5,11.1,11.15,1156800
COOP,23/05/2022,11.8,11.95,11.2,11.95,3318600
COOP,30/05/2022,11.95,12.5,10.3,11,1923600
COOP,06/06/2022,11.2,11.5,10.5,10.95,1068100
COOP,13/06/2022,10.95,11.05,10.5,11,868500
COOP,20/06/2022,11,11,10.5,10.75,634800
COOP,27/06/2022,10.75,11.5,10.75,11,1710300
COOP,04/07/2022,11.45,11.6,10.95,11.6,1520800
COOP,12/07/2022,11.5,11.5,10.9,11.45,2394200
COOP,18/07/2022,11.45,11.5,11,11.45,550100
COOP,25/07/2022,11.25,12,11.25,11.85,2287400
COOP,01/08/2022,11.9,12,11.4,11.8,1085900
COOP,08/08/2022,12,13,12,12.8,508500
COOP,15/08/2022,12.8,12.9,12.5,12.6,1755600
COOP,22/08/2022,12.85,12.9,11.9,12.6,1108200
COOP,29/08/2022,12.6,12.8,12,12.4,1250700
COOP,05/09/2022,12.4,12.9,12,12.4,8288400
COOP,12/09/2022,12.5,12.9,12.2,12.35,2090300
COOP,19/09/2022,12.4,12.5,11.8,12.1,1710200
COOP,26/09/2022,12.05,12.2,11.5,11.7,1074300
COOP,03/10/2022,11.8,12,11.65,12,571200
COOP,11/10/2022,12.5,12.5,11.8,12,480800
COOP,17/10/2022,12,12.15,11.9,12,496600
COOP,24/10/2022,12,12,11.75,11.8,2270800
COOP,31/10/2022,11.85,12,11.5,11.8,661100
COOP,07/11/2022,12,12.35,11.7,11.9,298400
COOP,14/11/2022,11.9,12.5,11.75,12.3,2855600
COOP,21/11/2022,12.3,12.8,12,12.4,7970500
COOP,28/11/2022,12.6,12.6,11.8,12,940800
COOP,05/12/2022,12,12.5,11.6,12,563200
COOP,13/12/2022,12,12.5,11.9,12,1411800
COOP,19/12/2022,12,12.4,11.85,12.35,747800
COOP,27/12/2022,12.35,12.45,12,12.45,293800
COOP,03/01/2023,12.4,12.8,12,12.8,842700
COOP,09/01/2023,12.4,12.85,12.1,12.8,2012900
COOP,16/01/2023,12.7,12.8,12.2,12.8,3729100
COOP,23/01/2023,12.8,13,12.25,12.6,3303300
COOP,30/01/2023,12.6,12.95,12.2,12.5,2630500
COOP,06/02/2023,12.5,12.7,12.2,12.6,1526600
COOP,13/02/2023,12.5,12.85,12.45,12.6,6519000
COOP,20/02/2023,12.6,12.8,12.45,12.45,2162100
COOP,27/02/2023,12.6,12.9,12.3,12.75,1003200
COOP,06/03/2023,12.7,12.9,12.3,12.5,7161500
COOP,13/03/2023,12.5,12.6,11.95,12.35,2650300
COOP,20/03/2023,12.3,12.85,12.2,12.7,2102600
COOP,27/03/2023,12.7,13.4,12.5,13.35,2058100
COOP,03/04/2023,13.35,13.35,13,13,1776400
COOP,11/04/2023,13,13.65,12.95,13,3422400
COOP,17/04/2023,13,13.5,12.9,13,1216500
COOP,24/04/2023,13.05,14,13,13.3,1634600
COOP,02/05/2023,13.35,13.5,12.65,12.8,1432700
COOP,08/05/2023,12.8,13.45,11.9,12,4690400
COOP,15/05/2023,12.6,12.95,12.15,12.25,5685600
COOP,22/05/2023,12.5,12.95,10.5,11.2,5397700
COOP,29/05/2023,11.2,12.2,11.2,12,10555200
COOP,05/06/2023,12,12.45,11.7,12.3,3746000
COOP,12/06/2023,12.25,12.4,12,12.35,6748700
COOP,19/06/2023,12.3,12.35,11.9,12.2,3165600
COOP,26/06/2023,12.2,12.35,12,12.25,720700
COOP,03/07/2023,12.3,12.3,12,12.25,839300
COOP,10/07/2023,12.3,12.3,11.9,12.1,1180100
COOP,17/07/2023,12.1,12.15,11.7,11.85,1136400
COOP,24/07/2023,12,12.1,11.8,11.8,1019800
COOP,31/07/2023,11.95,12.2,11.85,12.1,597000
COOP,07/08/2023,12,12.3,11.85,11.95,1618400
COOP,14/08/2023,12,12,11.05,11.45,2269900
COOP,21/08/2023,11.6,11.65,11.3,11.55,1352400
COOP,28/08/2023,11.65,12.4,11.2,11.75,675400
COOP,04/09/2023,12.3,12.35,11.65,11.8,516000
COOP,11/09/2023,11.85,12.1,11.6,12,388200
COOP,18/09/2023,11.9,11.95,11.75,11.85,6594100
COOP,25/09/2023,11.8,12.15,11.75,11.95,877400
COOP,02/10/2023,11.9,11.95,11.5,11.7,10622200
COOP,09/10/2023,12,12,11.3,11.6,2341100
COOP,16/10/2023,11.6,11.9,11.5,11.5,5387500
COOP,23/10/2023,11.6,12,11.5,11.75,753500
COOP,30/10/2023,11.75,11.95,11.2,11.45,657800
COOP,06/11/2023,11.7,11.7,10.1,10.7,3558700
COOP,14/11/2023,11,11.6,10.7,11.2,2257400
COOP,20/11/2023,12,12,11.3,11.4,1216000
COOP,27/11/2023,11.5,12,11.3,11.5,466600
COOP,04/12/2023,11.5,11.5,10.8,11.2,1384000
