ticker,time,open,high,low,close,Volume
DTK,10/02/2020,114.5,114.5,108,112,433000
DTK,17/02/2020,112,113,108,112,222900
DTK,24/02/2020,112,112,97,97,678600
DTK,02/03/2020,102,105,99,102,234600
DTK,09/03/2020,102,102,92.25,94,314400
DTK,16/03/2020,96,96,89,89,78200
DTK,23/03/2020,85,85,76.5,84,86700
DTK,30/03/2020,80,88,80,88,37600
DTK,06/04/2020,88,88,85,85.5,68000
DTK,13/04/2020,85,86,80,85,103800
DTK,20/04/2020,86,87.75,85,85,5100
DTK,27/04/2020,86,90,80,83,48600
DTK,04/05/2020,83,85,82,83,112000
DTK,11/05/2020,83,83,76,77,28300
DTK,18/05/2020,77.5,77.5,70,74,167200
DTK,25/05/2020,74,74,68,71.75,1438300
DTK,01/06/2020,71.75,72,68,69.75,86700
DTK,08/06/2020,69.75,72.5,68,68,401500
DTK,15/06/2020,68,75,67.75,69,485700
DTK,22/06/2020,69,73.5,69,70,24700
DTK,29/06/2020,70.5,72,68,70,345800
DTK,06/07/2020,72,74,69.75,70,133100
DTK,13/07/2020,69.5,69.5,68,69,35800
DTK,20/07/2020,69,70,67,70,22400
DTK,27/07/2020,68,69.25,65,65,21500
DTK,03/08/2020,60.75,69,60.75,69,45900
DTK,10/08/2020,69,69,66,67.5,8100
DTK,17/08/2020,65,66,64,66,11400
DTK,24/08/2020,67,74.25,65.5,66,40400
DTK,31/08/2020,72.25,72.25,64.5,64.75,236000
DTK,07/09/2020,64.75,65,64.75,65,46900
DTK,14/09/2020,71.5,71.5,60,62,118500
DTK,21/09/2020,63.25,68.5,60,60,343600
DTK,28/09/2020,60,66,58.5,61,356100
DTK,05/10/2020,65,65,61.5,63,32600
DTK,12/10/2020,63,63.5,60.5,60.5,43300
DTK,19/10/2020,62.5,63,61,63,16400
DTK,26/10/2020,62.25,64,61,63,13600
DTK,02/11/2020,62.25,63,59,60.5,242200
DTK,09/11/2020,61.5,62,61.25,61.75,26500
DTK,16/11/2020,62.5,64,60.25,64,92100
DTK,23/11/2020,64,65,61,61.25,217900
DTK,30/11/2020,61.5,66,61.5,63.5,56200
DTK,07/12/2020,65,70,63.5,70,36000
DTK,14/12/2020,67.5,70,67,67.25,128500
DTK,21/12/2020,67.25,73.5,67.25,73.5,32400
DTK,28/12/2020,73.5,75,73,75,12600
DTK,04/01/2021,75,78.5,75,78,32600
DTK,11/01/2021,77.5,78,77,77,118000
DTK,18/01/2021,77.5,77.5,70,75,71600
DTK,25/01/2021,76,76,72,76,462000
DTK,01/02/2021,73.5,73.5,68,68,21900
DTK,08/02/2021,70,70,65,69,85100
DTK,15/02/2021,68.5,75,68,69,139400
DTK,22/02/2021,77,77,69.25,69.25,11400
DTK,01/03/2021,70,73.75,70,71.5,172400
DTK,08/03/2021,74,76.75,72,75.5,77500
DTK,15/03/2021,75,78,73,73,12500
DTK,22/03/2021,73.5,73.5,63,66,152800
DTK,29/03/2021,65.5,68,60,68,30900
DTK,05/04/2021,68,68,65,65.25,49000
DTK,12/04/2021,65.25,67.25,65,65,49600
DTK,19/04/2021,65,69,62,69,76300
DTK,26/04/2021,68.5,68.5,64.25,66.25,8200
DTK,03/05/2021,66.25,66.25,64,64,139800
DTK,10/05/2021,64,65,63,65,118600
DTK,17/05/2021,64,65,63,64,26700
DTK,24/05/2021,64,64,60,60,111100
DTK,31/05/2021,60.5,66,58,60,1186000
DTK,07/06/2021,60,62,58,59,891400
DTK,14/06/2021,60,60.25,58.75,59,306700
DTK,21/06/2021,59,60,57.5,60,112600
DTK,28/06/2021,60,61,58,59,222600
DTK,05/07/2021,59,60,57.75,59,1213700
DTK,12/07/2021,60,67,58,66.25,5215200
DTK,19/07/2021,66.25,69,64,65,3740900
DTK,26/07/2021,65,66.25,64.25,64.25,90100
DTK,02/08/2021,66,66.25,63.75,65.25,270200
DTK,09/08/2021,66,66,64,64,105300
DTK,16/08/2021,65,67.5,63.75,67.5,705600
DTK,23/08/2021,65,67.5,65,65,174800
DTK,30/08/2021,65,66.5,64.5,65,46300
DTK,06/09/2021,66,66,64,64,135100
DTK,13/09/2021,65,65,62,64.75,21400
DTK,20/09/2021,64.25,64.25,62.75,63.75,21400
DTK,27/09/2021,63.25,64,61,63.5,22400
DTK,04/10/2021,63.5,63.75,60,62.25,276100
DTK,11/10/2021,60.25,62.75,58.25,58.25,112600
DTK,18/10/2021,59.25,59.75,55.25,59.75,84500
DTK,25/10/2021,58.5,60,58,58.75,28000
DTK,01/11/2021,58,58.75,55.5,57.75,261000
DTK,08/11/2021,57.25,60,57,57.75,128100
DTK,15/11/2021,57.75,57.75,56,57,122700
DTK,22/11/2021,57,57.5,55,57,451600
DTK,29/11/2021,58,58,54,56,92900
DTK,06/12/2021,59,59,55.25,58,16000
DTK,13/12/2021,56,58,55.75,57,132500
DTK,20/12/2021,59,61,57,61,28900
DTK,27/12/2021,59.75,61,59,59.5,18900
DTK,03/01/2022,59.5,62,59,60,40900
DTK,10/01/2022,60,60,58,59,31500
DTK,17/01/2022,59,60,58,58,50400
DTK,24/01/2022,58,59,57,59,57800
DTK,31/01/2022,58.5,60,57,59,58100
DTK,07/02/2022,59,60,58.25,58.25,257600
DTK,14/02/2022,59,61,57,58.75,93100
DTK,21/02/2022,59,60,56.5,56.5,70700
DTK,28/02/2022,57,57.5,54.25,56.5,120100
DTK,07/03/2022,55.5,56.5,55.5,55.75,10200
DTK,14/03/2022,56,60,55,60,49000
DTK,21/03/2022,60,60,56.75,57,200500
DTK,28/03/2022,59.75,59.75,55.5,58.75,16300
DTK,04/04/2022,58,58,55.5,57,55900
DTK,11/04/2022,55.5,57.75,55.5,57,8300
DTK,19/04/2022,56,57,56,57,10800
DTK,25/04/2022,56,56,55,56,34200
DTK,04/05/2022,55,57,53.75,55,11500
DTK,09/05/2022,55,56.75,51.25,56,19900
DTK,16/05/2022,52,56.75,48.5,48.5,140400
