ticker,time,open,high,low,close,Volume
KCB,07/06/2021,42.25,43.5,42.099998,42.299999,2373700
KCB,14/06/2021,42.599998,42.849998,42,42.599998,1648600
KCB,21/06/2021,42.950001,44.25,42.400002,43.599998,10566700
KCB,28/06/2021,43.5,44.349998,42,42.900002,3918100
KCB,05/07/2021,42.599998,47,42.599998,45.5,3193600
KCB,12/07/2021,45.5,46,42.700001,44.75,2477700
KCB,19/07/2021,44.75,45,44.5,44.799999,2597200
KCB,26/07/2021,44.849998,46,44.75,45.700001,5646300
KCB,02/08/2021,45.900002,46.799999,45.599998,46.400002,2820500
KCB,09/08/2021,46.400002,48,46.200001,47.549999,4489100
KCB,16/08/2021,48,50.75,47.099998,47.700001,4961800
KCB,23/08/2021,47.700001,48.849998,47.700001,48.799999,2987000
KCB,30/08/2021,48.5,49,46,46.650002,5461400
KCB,06/09/2021,47,47,46,46.599998,3695800
KCB,13/09/2021,46.5,49,46.400002,48.950001,5158900
KCB,20/09/2021,48.200001,48.950001,46.5,47,11312600
KCB,27/09/2021,47.049999,47.5,46.549999,46.849998,938200
KCB,04/10/2021,46.849998,46.849998,45,46,8164400
KCB,11/10/2021,46,46,42.200001,45,5502800
KCB,18/10/2021,44.900002,45,43.200001,44.099998,4934400
KCB,25/10/2021,44.099998,44.5,43.400002,44,8945000
KCB,01/11/2021,44,44,43.099998,43.599998,2357700
KCB,08/11/2021,43.599998,46.5,43.5,44.5,4689400
KCB,15/11/2021,44.5,46.5,44.099998,45.450001,6886000
KCB,22/11/2021,45.5,45.5,43,43.799999,11520900
KCB,29/11/2021,43.599998,44,39.099998,41.099998,6075200
KCB,06/12/2021,41.150002,43.5,40.5,43.5,28350200
KCB,13/12/2021,43,45,43,45,9221500
KCB,20/12/2021,45,45.5,44.25,45.25,584000
KCB,27/12/2021,45,45.5,44.5,45.5,1535900
KCB,03/01/2022,45.5,46.5,45,45.900002,2554700
KCB,10/01/2022,45.650002,46.5,44.700001,45.099998,6593400
KCB,17/01/2022,45.150002,45.5,44.5,44.700001,6399400
KCB,24/01/2022,45,45.5,44.400002,44.799999,10671500
KCB,31/01/2022,45.049999,47.5,44.799999,46.599998,11737400
KCB,07/02/2022,47,47,45,45.599998,3036500
KCB,14/02/2022,45.599998,46.5,45.549999,46,3384700
KCB,21/02/2022,46,46.450001,44.5,44.5,4620200
KCB,28/02/2022,44.549999,45.950001,43.599998,45.5,5978000
KCB,07/03/2022,45.400002,45.900002,43.849998,44.5,6049600
KCB,14/03/2022,44.950001,46,44,44.599998,8050600
KCB,21/03/2022,45,45,43,44.349998,13578200
KCB,28/03/2022,44.25,45,43.5,44.200001,8608500
KCB,04/04/2022,44.049999,44.200001,43,43.599998,2263200
KCB,11/04/2022,43.599998,44,43,43.5,2394000
KCB,19/04/2022,43.5,43.5,42.5,43.299999,481600
KCB,25/04/2022,43.299999,43.299999,37,37.049999,1150600
KCB,04/05/2022,37,38,34,35.599998,667200
KCB,09/05/2022,37,37,35.099998,35.650002,5269000
KCB,16/05/2022,35.700001,35.849998,34.5,35.400002,5166800
KCB,23/05/2022,35.5,38.5,35,37.799999,5576500
KCB,30/05/2022,38.299999,39,37.700001,38.450001,4563400
KCB,06/06/2022,38.75,39.5,38.5,39.349998,2096300
KCB,13/06/2022,39,39.5,37.5,37.900002,3522400
KCB,20/06/2022,37.900002,37.900002,36.200001,36.700001,3208100
KCB,27/06/2022,36.950001,40,36.549999,40,1298700
KCB,04/07/2022,39,43,39,42.5,9697800
KCB,12/07/2022,42.799999,42.799999,39.5,40.049999,8786300
KCB,18/07/2022,40.5,40.5,38.5,38.849998,8482500
KCB,25/07/2022,38.849998,41.900002,38.5,41,3812400
