ticker,time,open,high,low,close,Volume
NCBA,14/09/2020,22.4,23.299999,21.5,23.299999,830100
NCBA,21/09/2020,23.299999,23.5,22.799999,22.85,420500
NCBA,28/09/2020,23.200001,23.4,22,22,352300
NCBA,05/10/2020,23,23,22,22.799999,218900
NCBA,12/10/2020,22.799999,23.5,22.5,22.9,432300
NCBA,19/10/2020,22.9,23,22.5,22.75,72600
NCBA,26/10/2020,22.700001,22.9,22.1,22.700001,430200
NCBA,02/11/2020,22.4,22.5,20.6,22.049999,201700
NCBA,09/11/2020,22.450001,23,21.5,22,121100
NCBA,16/11/2020,22.5,22.75,21.5,22.700001,418100
NCBA,23/11/2020,22.6,23.5,22,23,7420900
NCBA,30/11/2020,23.450001,23.5,21.1,22.5,117500
NCBA,07/12/2020,23,23.5,22.950001,23.299999,388000
NCBA,14/12/2020,23.35,23.6,22.950001,23.5,525200
NCBA,21/12/2020,22.5,24.5,22.5,24.5,164700
NCBA,28/12/2020,24,27,24,27,339200
NCBA,04/01/2021,27,27,25,25.700001,229600
NCBA,11/01/2021,25.700001,26,25,25.5,299000
NCBA,18/01/2021,25.15,25.799999,25.15,25.25,169400
NCBA,25/01/2021,25.200001,25.65,24,24.75,63100
NCBA,01/02/2021,24.75,25.5,24,24.6,87200
NCBA,08/02/2021,24,25,23,24.5,196500
NCBA,15/02/2021,24,25,24,24,185200
NCBA,22/02/2021,24.25,25,23.5,24.450001,421200
NCBA,01/03/2021,24.4,26.5,24,25.9,192800
NCBA,08/03/2021,25.549999,25.549999,24,24.799999,152000
NCBA,15/03/2021,24.6,25.25,24.1,25,125100
NCBA,22/03/2021,24.85,24.950001,22.5,23,226100
NCBA,29/03/2021,23,26.049999,22.950001,25,1082400
NCBA,05/04/2021,25.15,25.5,24,25,921800
NCBA,12/04/2021,24.5,27,24.5,27,1761400
NCBA,19/04/2021,26.799999,26.9,24.5,24.5,4342800
NCBA,26/04/2021,25,25.5,24,24.5,118100
NCBA,03/05/2021,24.299999,24.85,24.25,24.700001,267600
NCBA,10/05/2021,24.700001,25.5,24.6,24.6,52500
NCBA,17/05/2021,24.6,25,24.6,24.9,126600
NCBA,24/05/2021,24.5,25.5,24.25,25.5,546800
NCBA,31/05/2021,25.200001,27.85,25.200001,26.4,10161200
NCBA,07/06/2021,25.65,26.700001,25.5,26.5,55101900
NCBA,14/06/2021,26.5,26.6,25.5,25.5,331900
NCBA,21/06/2021,25.5,25.75,24.25,25.299999,901400
