ticker,time,open,high,low,close,Volume
SBIC,14/09/2020,82.75,83,75,75,770200
SBIC,21/09/2020,75,82,75,76,349300
SBIC,28/09/2020,76.25,83,75,80,132500
SBIC,05/10/2020,80,86,80,84,10100
SBIC,12/10/2020,81.5,81.5,77,77,12100
SBIC,19/10/2020,84,84,80,80,1500
SBIC,26/10/2020,80,80,77,77,716000
SBIC,02/11/2020,81,81,75.25,80,121700
SBIC,09/11/2020,81,81,80,80,301400
SBIC,16/11/2020,76,83,76,83,1969800
SBIC,23/11/2020,83,83,79,79,538600
SBIC,30/11/2020,79,85,75.75,79.25,93300
SBIC,07/12/2020,79,79,75,76,59800
SBIC,14/12/2020,82.5,82.5,78,82,12600
SBIC,21/12/2020,80,85,79,79,9600
SBIC,28/12/2020,80,85,80,85,3500
SBIC,04/01/2021,85,85,79,79,1600
SBIC,11/01/2021,80.25,88.5,79,88.5,8800
SBIC,18/01/2021,88,88,72.25,77,34700
SBIC,25/01/2021,77.75,80,76,80,133800
SBIC,01/02/2021,79,79.5,79,79.5,363700
SBIC,08/02/2021,87,87.25,79.25,85,654800
SBIC,15/02/2021,82,84,75.25,84,471400
SBIC,22/02/2021,80,84,79.5,80,35800
SBIC,01/03/2021,82,84.5,82,84.5,229000
SBIC,08/03/2021,84.5,85,80,83,753100
SBIC,15/03/2021,83,87.5,83,85.25,202400
SBIC,22/03/2021,85.25,85.25,77,83.5,532700
SBIC,29/03/2021,82,83.5,81,83.5,7700
SBIC,05/04/2021,83.5,84.25,81,82,43700
SBIC,12/04/2021,81,84,81,84,404700
SBIC,19/04/2021,83.75,83.75,82.75,83,443500
SBIC,26/04/2021,83,83,76,83,24900
SBIC,03/05/2021,83,83,81,81,21900
SBIC,10/05/2021,83,83,81,83,149300
SBIC,17/05/2021,81,84,81,81,35700
SBIC,24/05/2021,81,83,78,78,203300
SBIC,31/05/2021,79,82,79,80,24900
SBIC,07/06/2021,80,82,80,80,56300
SBIC,14/06/2021,81,81,80,81,13700
SBIC,21/06/2021,83.5,83.5,81,81.25,3100
SBIC,28/06/2021,84,84,81,83,6300
SBIC,05/07/2021,81.25,81.25,80,80,3200
SBIC,12/07/2021,80,84,80,84,6100
SBIC,19/07/2021,84,90,84,90,3900
SBIC,26/07/2021,85,90,85,85,4700
SBIC,02/08/2021,85,93,85,93,75800
SBIC,09/08/2021,92.5,92.5,86,86,45300
SBIC,16/08/2021,90,94.5,90,94,6900
SBIC,23/08/2021,91.25,96,91.25,95,8000
SBIC,30/08/2021,95,99,91,94,10200
SBIC,06/09/2021,93,93,82,85.5,20800
SBIC,13/09/2021,90.5,91,90.5,91,400
SBIC,20/09/2021,89.75,92,89.75,92,783900
SBIC,27/09/2021,92,92,90,92,559200
SBIC,04/10/2021,94.75,94.75,86.25,86.25,39800
SBIC,11/10/2021,86.25,86.25,86,86,1100
SBIC,18/10/2021,86,90,86,90,6200
SBIC,25/10/2021,90,94,90,94,3700
SBIC,01/11/2021,90,95,87,88,253300
SBIC,08/11/2021,87.5,94,87,94,12500
SBIC,15/11/2021,90,94,90,90.5,2617500
SBIC,22/11/2021,91.75,93,91,91,500
SBIC,29/11/2021,93,94,90.5,90.5,1489900
SBIC,06/12/2021,87,92.25,87,92.25,9000
SBIC,13/12/2021,92,92.5,86.25,92.5,220900
SBIC,20/12/2021,92,95,92,92,97600
SBIC,27/12/2021,86.75,88,86.75,87,4900
SBIC,03/01/2022,87,87,87,87,7300
SBIC,10/01/2022,87.5,94,87,87,112500
SBIC,17/01/2022,87,94,87,87,19700
SBIC,24/01/2022,87,92,87,92,300
SBIC,31/01/2022,90,91.5,87.25,87.25,899900
SBIC,07/02/2022,87.5,95,87.25,94,10200
SBIC,14/02/2022,92.5,97,92.5,97,559200
SBIC,21/02/2022,95,95,90,95,3200
SBIC,28/02/2022,95,100,94,100,18700
SBIC,07/03/2022,99.5,100,95,100,709300
SBIC,14/03/2022,100,100,98,100,521600
SBIC,21/03/2022,100,105,100,103,441400
SBIC,28/03/2022,100,104.75,100,104.75,2617000
SBIC,04/04/2022,104,104,104,104,1300
SBIC,11/04/2022,104,104.75,103.5,104.75,6600
SBIC,19/04/2022,104.5,106,100,100,396200
SBIC,25/04/2022,104.25,105.75,100,105.75,393000
SBIC,04/05/2022,105.25,105.5,105,105.5,54500
SBIC,09/05/2022,105.5,106,98,98,257500
SBIC,16/05/2022,104,104,98,104,78400
SBIC,23/05/2022,101.75,108,100,105,9935000
SBIC,30/05/2022,104.75,105,94.5,105,9300
SBIC,06/06/2022,104,104,94.5,101.5,6200
SBIC,13/06/2022,95,101.5,92.75,100.25,1100
SBIC,20/06/2022,100,100,90.25,90.25,3900
SBIC,27/06/2022,90.25,99,90,99,5500
